FirstLastName,ListofAlexIds,Team,ReferencedIndividuals
Suzanne Pfeffer,A5033452410,Team Alessi,"['Dario Alessi', 'Erika Holzbaur', 'J. Harper', 'Maria Spillantini', 'Michela Deleidi', 'Miratul Muqit', 'Monther Abu-Remaileh', 'Shawn Ferguson', 'Suzanne Pfeffer']"
Miratul Muqit,A5084528692,Team Alessi,"['Dario Alessi', 'Erika Holzbaur', 'J. Harper', 'James Hurley', 'Michela Deleidi', 'Miratul Muqit', 'Sonia Gandhi', 'Suzanne Pfeffer']"
Monther Abu-Remaileh,A5045437960,Team Alessi,"['Dario Alessi', 'Ellen Sidransky', 'J. Harper', 'Monther Abu-Remaileh']"
Dario Alessi,A5054181982,Team Alessi,"['Dario Alessi', 'Ellen Sidransky', 'Erika Holzbaur', 'J. Harper', 'James Hurley', 'Karin Reinisch', 'Maria Spillantini', 'Michela Deleidi', 'Miratul Muqit', 'Monther Abu-Remaileh', 'Pietro Camilli', 'Samara Reck‐Peterson', 'Shawn Ferguson', 'Suzanne Pfeffer']"
Stefan Knapp,A5013336817,Team Reck-Peterson,"['Andres Leschziner', 'Dario Alessi', 'Samara Reck‐Peterson', 'Suzanne Pfeffer']"
Ian Ganley,A5001971427,Team Hurley,[]
J. Harper,A5047746208,Team Harper,"['Erika Holzbaur', 'F. Hartl', 'J. Harper', 'James Hurley', 'Miratul Muqit', 'Rubén Fernández‐Busnadiego']"
Rubén Fernández‐Busnadiego,A5061030857,Team Harper,"['Dario Alessi', 'F. Hartl', 'J. Harper', 'Miratul Muqit', 'Rubén Fernández‐Busnadiego']"
Thomas Hnasko,A5013611528,Team Awatramani,"['Christopher Ford', 'Daniel Dombeck']"
Alexandra Nelson,A5015829168,Team Edwards,"['Alexandra Nelson', 'Daniel Dombeck', 'Donato Monte', 'Louis‐Éric Trudeau', 'Rajeshwar Awatramani', 'Richard Wade‐Martins', 'Robert Edwards']"
Mark Bevan,A5069851964,Team Awatramani,"['Alexandra Nelson', 'Daniel Dombeck']"
