FirstLastName,ListofAlexIds,Team,ReferencedIndividuals
Suzanne Pfeffer,A5033452410,Alessi,"['Dario Alessi', 'Suzanne Pfeffer', 'Dario Alessi', 'Suzanne Pfeffer', 'Monther Abu-Remaileh', 'Dario Alessi', 'Suzanne Pfeffer', 'Dario Alessi', 'Suzanne Pfeffer', 'Monther Abu-Remaileh', 'Shawn Ferguson', 'Suzanne Pfeffer', 'Suzanne Pfeffer', 'Suzanne Pfeffer', 'Suzanne Pfeffer', 'Miratul Muqit', 'J. Harper', 'Michela Deleidi', 'Dario Alessi', 'Erika Holzbaur', 'Suzanne Pfeffer', 'Maria Spillantini', 'Suzanne Pfeffer', 'Maria Spillantini']"
Miratul Muqit,A5084528692,Alessi,"['James Hurley', 'Miratul Muqit', 'Miratul Muqit', 'Dario Alessi', 'Sonia Gandhi', 'Miratul Muqit', 'Suzanne Pfeffer', 'Dario Alessi', 'Miratul Muqit', 'J. Harper', 'Dario Alessi', 'Suzanne Pfeffer', 'Miratul Muqit', 'J. Harper', 'Michela Deleidi', 'Dario Alessi', 'Erika Holzbaur']"
Monther Abu-Remaileh,A5045437960,Alessi,"['Monther Abu-Remaileh', 'J. Harper', 'Ellen Sidransky', 'Dario Alessi']"
Dario Alessi,A5054181982,Alessi,"['Samara Reck‐Peterson', 'Suzanne Pfeffer', 'Suzanne Pfeffer', 'Samara Reck‐Peterson', 'Monther Abu-Remaileh', 'J. Harper', 'Miratul Muqit', 'Suzanne Pfeffer', 'Dario Alessi', 'Dario Alessi', 'Suzanne Pfeffer', 'Dario Alessi', 'Suzanne Pfeffer', 'Monther Abu-Remaileh', 'Shawn Ferguson', 'Dario Alessi', 'Suzanne Pfeffer', 'Samara Reck‐Peterson', 'Dario Alessi', 'Suzanne Pfeffer', 'Suzanne Pfeffer', 'Suzanne Pfeffer', 'Ellen Sidransky', 'Dario Alessi', 'Suzanne Pfeffer', 'Miratul Muqit', 'J. Harper', 'Michela Deleidi', 'Dario Alessi', 'Erika Holzbaur', 'Suzanne Pfeffer', 'Maria Spillantini', 'Pietro Camilli', 'J. Harper', 'Karin Reinisch', 'Suzanne Pfeffer', 'Shawn Ferguson', 'James Hurley', 'Dario Alessi']"
Stefan Knapp,A5013336817,Reck-Peterson,"['Suzanne Pfeffer', 'Samara Reck‐Peterson', 'Dario Alessi', 'Samara Reck‐Peterson', 'Andres Leschziner', 'Dario Alessi', 'Samara Reck‐Peterson', 'Dario Alessi', 'Samara Reck‐Peterson']"
Ian Ganley,A5001971427,Hurley,[]
J. Harper,A5047746208,Harper,"['J. Harper', 'James Hurley', 'Erika Holzbaur', 'J. Harper', 'Miratul Muqit', 'J. Harper', 'J. Harper', 'J. Harper', 'James Hurley', 'Miratul Muqit', 'J. Harper', 'Erika Holzbaur', 'J. Harper', 'J. Harper', 'Rubén Fernández‐Busnadiego', 'F. Hartl']"
Rubén Fernández‐Busnadiego,A5061030857,Harper,"['Miratul Muqit', 'J. Harper', 'Dario Alessi', 'Rubén Fernández‐Busnadiego', 'F. Hartl', 'Rubén Fernández‐Busnadiego', 'F. Hartl']"
Thomas Hnasko,A5013611528,Awatramani,"['Daniel Dombeck', 'Christopher Ford']"
Alexandra Nelson,A5015829168,Edwards,"['Rajeshwar Awatramani', 'Richard Wade‐Martins', 'Louis‐Éric Trudeau', 'Daniel Dombeck', 'Robert Edwards', 'Alexandra Nelson', 'Donato Monte']"
Mark Bevan,A5069851964,Awatramani,"['Alexandra Nelson', 'Daniel Dombeck']"
Daniel Dombeck,A5035273874,Awatramani,"['Peter Sims', 'Rajeshwar Awatramani', 'Loukia Parisiadou', 'Rajeshwar Awatramani', 'Daniel Dombeck', 'Thomas Hnasko']"
Rajeshwar Awatramani,A5082378596,Awatramani,"['Peter Sims', 'Rajeshwar Awatramani', 'Loukia Parisiadou', 'Rajeshwar Awatramani', 'Daniel Dombeck', 'Thomas Hnasko']"
Loukia Parisiadou,A5066027781,Awatramani,"['Dario Alessi', 'Suzanne Pfeffer', 'Loukia Parisiadou', 'Suzanne Pfeffer', 'Andres Leschziner', 'Loukia Parisiadou', 'Rajeshwar Awatramani', 'Daniel Dombeck', 'Thomas Hnasko']"
Michael Henderson,A5034385515,Biederer,"['D. Surmeier', 'Michael Henderson', 'Shawn Ferguson', 'Le Zhang', 'Maxime Rousseaux', 'Maxime Rousseaux', 'Hong‐Yuan Chu']"
Michael Henderson,A5034385515,Lee,"['D. Surmeier', 'Michael Henderson', 'Shawn Ferguson', 'Le Zhang', 'Maxime Rousseaux', 'Maxime Rousseaux', 'Hong‐Yuan Chu']"
Laura Volpicelli‐Daley,A5049620072,Biederer,"['Hong‐Yuan Chu', 'Subhojit Roy', 'Michael Henderson']"
Nicole Calakos,A5085465113,Calakos,[]
Çağla Eroğlu,A5017962710,Calakos,"['Çağla Eroğlu', 'Ellen Sidransky', 'Loukia Parisiadou', 'Çağla Eroğlu']"
Michael Tadross,A5078373067,Calakos,['Michael Tadross']
Scott Soderling,A5080635428,Calakos,"['Ellen Sidransky', 'Loukia Parisiadou', 'Çağla Eroğlu']"
Weiyi Peng,A5071360122,Chen,['Xiqun Chen']
Michael Schwarzschild,A5041777746,Chen,['Xiqun Chen']
Xiqun Chen,A5012470875,Chen,"['Xiqun Chen', 'Xiqun Chen']"
Richard Wade‐Martins,A5028723665,Cragg,"['Peter Sims', 'Richard Wade‐Martins', 'Anthony Schapira', 'D. Surmeier', 'Stephanie Cragg']"
Mark Howe,A5003078833,Cragg,['Mark Howe']
Stephanie Cragg,A5087084011,Cragg,"['Anthony Schapira', 'D. Surmeier', 'Stephanie Cragg', 'Daniel Dombeck']"
Konstantinos Meletis,A5004457607,Cragg,[]
Peter Magill,A5015406158,Cragg,[]
Karin Reinisch,A5059224100,De Camilli,"['Pietro Camilli', 'Pietro Camilli', 'Pietro Camilli', 'Pietro Camilli']"
Pietro Camilli,A5037459294,De Camilli,"['Pietro Camilli', 'Pietro Camilli', 'Pietro Camilli', 'Karin Reinisch', 'Dario Alessi', 'Suzanne Pfeffer', 'Samara Reck‐Peterson', 'Pietro Camilli', 'Suzanne Pfeffer', 'Pietro Camilli', 'Pietro Camilli', 'Sreeganga Chandra', 'Pietro Camilli', 'Pietro Camilli', 'Karin Reinisch', 'Timothy Ryan', 'Pietro Camilli', 'Karin Reinisch', 'Pietro Camilli', 'Karin Reinisch', 'Pietro Camilli', 'Monther Abu-Remaileh', 'J. Harper', 'Pietro Camilli', 'J. Harper', 'Karin Reinisch', 'Suzanne Pfeffer', 'Shawn Ferguson', 'James Hurley']"
Shawn Ferguson,A5091271525,De Camilli,"['Erika Holzbaur', 'J. Harper', 'Pietro Camilli', 'Suzanne Pfeffer', 'James Hurley', 'Suzanne Pfeffer', 'Dario Alessi', 'Pietro Camilli', 'Pietro Camilli', 'Sreeganga Chandra', 'Pietro Camilli', 'Dario Alessi', 'Suzanne Pfeffer', 'Patrick Lewis', 'Pietro Camilli', 'J. Harper', 'Karin Reinisch', 'Suzanne Pfeffer', 'Shawn Ferguson', 'James Hurley']"
Timothy Ryan,A5051928889,De Camilli,"['Timothy Ryan', 'Timothy Ryan']"
Kallol Gupta,A5038262390,De Camilli,[]
Michael Kaplitt,A5027250646,Kaplitt,"['Timothy Ryan', 'Amy Amara', 'Anthony Schapira', 'Subhojit Roy']"
Samantha Gruenheid,A5007887366,Desjardins,"['David Sulzer', 'Rajeshwar Awatramani', 'Peter Sims', 'Michel Desjardins', 'Heidi McBride', 'Peter Sims', 'Cecilia Arlehamn', 'Samantha Gruenheid', 'Louis‐Éric Trudeau']"
Louis‐Éric Trudeau,A5024580674,Desjardins,"['David Sulzer', 'Rajeshwar Awatramani', 'David Sulzer', 'Alessandro Sette', 'Michel Desjardins', 'Ashley Harms', 'Heidi McBride', 'Michel Desjardins', 'Heidi McBride', 'Peter Sims', 'Cecilia Arlehamn', 'Samantha Gruenheid', 'Louis‐Éric Trudeau']"
Heidi McBride,A5074688125,Desjardins,"['J. Harper', 'Shawn Ferguson', 'Peter Sims', 'Michel Desjardins', 'Heidi McBride', 'Peter Sims', 'Cecilia Arlehamn', 'Samantha Gruenheid', 'Louis‐Éric Trudeau']"
Michel Desjardins,A5086104642,Desjardins,"['J. Harper', 'Shawn Ferguson', 'Peter Sims']"
Ken Nakamura,A5081058318,Edwards,"['Alexandra Nelson', 'Donato Monte', 'D. Surmeier', 'Daniel Dombeck', 'Ken Nakamura', 'Donato Monte']"
Robert Edwards,A5027616900,Edwards,['Robert Edwards']
Talia Lerner,A5042504580,Edwards,"['Rajeshwar Awatramani', 'Richard Wade‐Martins', 'Louis‐Éric Trudeau', 'Daniel Dombeck']"
Glenda Halliday,A5047141421,Kirik,"['Donato Monte', 'Rubén Fernández‐Busnadiego', 'Vikram Khurana', 'Lorenz Studer']"
Glenda Halliday,A5047141421,Vila,"['Donato Monte', 'Rubén Fernández‐Busnadiego', 'Vikram Khurana', 'Lorenz Studer']"
Zayd Khaliq,A5050910385,Edwards,"['Daniel Dombeck', 'Christopher Ford']"
