FullName,Role,Team,pub_id,personnel_id,pub_orcid,personnel_orcid
Sadik Elshani,Key Personnel,Team Alessi,A5087999104,,,0009-0009-9416-6151
Matthew Jaconelli,Key Personnel,Team Alessi,A5098937951,A5040910869,,0009-0003-1536-435X
Joshua Callahan,Key Personnel,Team Awatramani,A5011349260,,,0000-0001-7567-5676
Libby Breton,Key Personnel,Team Biederer,A5108232890,A5063286378,,0000-0001-9968-1878
Noah Lubben,Key Personnel,Team Biederer,A5027680501,A5008814671,,0000-0002-5266-5472
Luke Bradley,Key Personnel,Team Calakos,A5107935517,,,0009-0009-8953-5661
Fang Zhou,Key Personnel,Team Chen,A5021640967,A5101866284,0000-0002-8211-9181,0000-0002-8913-1300
Akriti Srivastava,Key Personnel,Team Chen,A5114142243,,,0000-0001-7308-4637
Qing Wang,Key Personnel,Team Chen,A5100434915,A5100672184,0009-0003-7328-8762,0000-0002-4911-3300
Xiqun Chen,Lead-PI,Team Chen,A5031896665,A5012470875,0000-0001-8285-084X,0000-0001-8582-8891
Ashley Guerrero,Key Personnel,Team Chen,A5052116447,,0009-0008-6393-9433,
Xinbo Wang,Key Personnel,Team De Camilli,A5100762075,,0000-0001-8524-9662,0000-0003-1270-5123
Justin Knapp,Key Personnel,Team De Camilli,A5114108738,,,0009-0002-7018-9702
Caroline Brown,Key Personnel,Team De Camilli,A5103792213,A5017749786,0009-0002-9988-8144,0000-0002-2751-9262
Rachel McAllister,Key Personnel,Team De Camilli,A5053038504,,,0000-0002-1646-7241
Mukesh Kumar,Key Personnel,Team De Camilli,A5058591739,A5051850846,0000-0001-6389-2040,0000-0002-0277-2958
Benjamin Johnson,Project Manager,Team De Camilli,A5009793962,A5077896056,0000-0003-3444-9669,0000-0002-6048-1382
Ali Ahmadi,Key Personnel,Team Desjardins,A5080705295,A5101646131,0000-0003-0498-2235,0000-0001-9926-8434
Maha Ibrahim,Key Personnel,Team Desjardins,A5113930761,,,0000-0003-0382-9650
Nathalia Oliveira,Key Personnel,Team Desjardins,A5017277356,A5111286632,,0000-0002-5823-2184
Nicolas Giguère,Key Personnel,Team Desjardins,A5088355635,A5047357837,0000-0001-8982-2411,0000-0001-8130-5321
James Maas,Project Manager,Team Edwards,A5056539065,,,0009-0000-1102-8197
Yizhi Jiang,Key Personnel,Team Harper,A5108145366,A5054007595,,0000-0001-9016-1104.
Delong Li,Key Personnel,Team Harper,A5017563110,,0000-0002-6930-8391,0009-0006-7900-489X
Graham Winston,Key Personnel,Team Kaplitt,A5113300015,A5054978430,,0000-0002-3878-992X
Yaping Chu,Key Personnel,Team Kordower,A5077753619,,0000-0001-6573-9496,0000-0002-9112-6295
Jeffrey Kordower,Lead-PI,Team Kordower,A5103177177,A5074765508,0000-0003-0407-1861,0000-0001-8629-3294
Michael Lee,Lead-PI,Team Lee,A5021234825,A5042113481,0000-0001-5865-9682,0000-0003-2691-4532
Elizabeth Tiegs,Key Personnel,Team Lee,A5099063153,,,
Riley Schlichte,Key Personnel,Team Lee,A5099063154,,,
Rebecca Wallings,Key Personnel,Team Liddle,A5034941377,A5092480910,0000-0003-0947-4459,0000-0003-3878-291X
Verena Dederer,Key Personnel,Team Reck-Peterson,A5019965194,A5102848969,0000-0002-7877-4706,0009-0006-7557-5388
Hanqin Li,Key Personnel,Team Rio,A5038944590,,0000-0001-7995-1084,
Khaja Syed,Key Personnel,Team Rio,A5013626934,,0000-0002-7682-7608,
Jesse Dunnack,Key Personnel,Team Rio,A5082840733,,0000-0002-0387-0090,
Steven Poser,Key Personnel,Team Rio,A5082161278,,0000-0003-4868-1389,
Jessica Diaz,Key Personnel,Team Rio,A5002224349,,0000-0001-7165-6590,
Atehsa Sahagun,Key Personnel,Team Rio,A5068055115,,0000-0001-7521-3279,
Yeon Lee,Key Personnel,Team Rio,A5077348858,,,
Nadine Loefflad,Key Personnel,Team Schapira,A5090002183,,0000-0002-9940-7753,0000-0002-9940-7750
Joseph Locascio,Key Personnel,Team Scherzer,A5107847656,A5023616587,,0000-0003-3439-1209
Jie Yuan,Key Personnel,Team Scherzer,A5101720692,A5100745178,0000-0002-3857-4152,0000-0002-5626-2881
Sean Simmons,Key Personnel,Team Scherzer,A5017886169,,,0000-0002-1537-4000
Josef Penninger,Collaborating PI,Team Schlossmacher,A5114228209,A5059310975,,0000-0002-8194-3777
Brit Mollenhauer,Co-PI,Team Schlossmacher,A5110690838,A5082185657,,0000-0001-8437-3645
Sumaiya Nazeen,Key Personnel,Team Studer,A5038328241,,,0000-0002-6313-6357
Jalwa Afroz,Key Personnel,Team Studer,A5098279884,,,0009-0007-5186-6401
Renuka Gupta,Key Personnel,Team Studer,A5105297633,,,0000-0002-5741-6555
Aubrey Schonhoff,,Team Sulzer,A5084083600,A5014185718,,0000-0002-1801-1125
Dritan Agalliu,Key Personnel (PI),Team Sulzer,A5103243942,A5085315691,0000-0002-1365-6450,0000-0002-5375-4143
Aubrey Schonhoff,,Team Sulzer,A5014185718,A5014185718,0000-0002-1801-1125,0000-0002-1801-1125
Kelly Jakubiak,,Team Sulzer,A5092351288,A5092351288,0009-0002-6932-4460,0009-0002-6932-4460
Ann Kennedy,Co-PI,Team Surmeier,A5075478892,A5071419759,0000-0002-1602-2015,0000-0002-3782-0518
Jun Ding,Co-PI,Team Surmeier,A5111498304,A5070396294,,0000-0003-0690-1312
Soha Sohail,Key Personnel,Team Vangheluwe,A5104113705,,,
Bahafta Berhe,Key Personnel,Team Vangheluwe,A5021774873,,,0000-0003-4888-2869
Tiffany Chen,Key Personnel,Team Vangheluwe,A5111108535,,,0009-0007-9297-1988
Krystyna Rytel,Key Personnel,Team Vangheluwe,A5006325493,,,0009-0006-3088-7337
Patricia Arnaiz,Key personnel Lanciego,Team Vila,A5109272125,A5093510646,,0009-0007-4668-0186
Beatrice Zarrilli,Key personnel Lanciego,Team Vila,A5013851008,,,0000-0002-4704-5834
Daniil Berezhnoi,Key Personnel,Team Wichmann,A5111146575,A5057042112,,0000-0001-7507-0589
Wei Zhou,Key Personnel,Team Wichmann,A5101866473,,0000-0002-2548-6348,0009-0002-9069-4888
