,id,created,pids.doi.identifier,metadata.title,metadata.description,metadata.resource_type.title.en,metadata.publication_date,metadata.creators.person_or_org.type,metadata.creators.person_or_org.name,metadata.rights.id,OpenAlex_ID,ListofAlexIds,ListofNames,ListofOrcids
0,6597542,2022-05-31T15:21:19.730448+00:00,10.5281/zenodo.6597542,"Tabular datasets for Park et al, 2022","<p>tabular datasets used for immunofluorescence (Figure 1b, Extended Data Figure 3c) and transmission electron microscopy (Extended Data Figure 1h)</p>",Dataset,2022-03-31 00:00:00,"personal
personal
personal
personal
personal
personal
personal
personal
personal
personal
personal","Hankum Park
Qing Yu
Frances V. Hundley
Katherine Overmyer
Lia Serrano
Joao A. Paulo
Julia C. Paoli
Sharan Swarup
Joshua J. Coon
Steven P. Gygi
J. Wade Harper",cc-by-4.0,W4393681028,A5091866133,Hankum Park,0000-0001-5795-3249
1,6597542,2022-05-31T15:21:19.730448+00:00,10.5281/zenodo.6597542,"Tabular datasets for Park et al, 2022","<p>tabular datasets used for immunofluorescence (Figure 1b, Extended Data Figure 3c) and transmission electron microscopy (Extended Data Figure 1h)</p>",Dataset,2022-03-31 00:00:00,"personal
personal
personal
personal
personal
personal
personal
personal
personal
personal
personal","Hankum Park
Qing Yu
Frances V. Hundley
Katherine Overmyer
Lia Serrano
Joao A. Paulo
Julia C. Paoli
Sharan Swarup
Joshua J. Coon
Steven P. Gygi
J. Wade Harper",cc-by-4.0,W4393681028,A5040242042,Qing Yu,0000-0003-0468-5353
2,6597542,2022-05-31T15:21:19.730448+00:00,10.5281/zenodo.6597542,"Tabular datasets for Park et al, 2022","<p>tabular datasets used for immunofluorescence (Figure 1b, Extended Data Figure 3c) and transmission electron microscopy (Extended Data Figure 1h)</p>",Dataset,2022-03-31 00:00:00,"personal
personal
personal
personal
personal
personal
personal
personal
personal
personal
personal","Hankum Park
Qing Yu
Frances V. Hundley
Katherine Overmyer
Lia Serrano
Joao A. Paulo
Julia C. Paoli
Sharan Swarup
Joshua J. Coon
Steven P. Gygi
J. Wade Harper",cc-by-4.0,W4393681028,A5079127441,Frances V Hundley,0000-0001-9469-301X
3,6597542,2022-05-31T15:21:19.730448+00:00,10.5281/zenodo.6597542,"Tabular datasets for Park et al, 2022","<p>tabular datasets used for immunofluorescence (Figure 1b, Extended Data Figure 3c) and transmission electron microscopy (Extended Data Figure 1h)</p>",Dataset,2022-03-31 00:00:00,"personal
personal
personal
personal
personal
personal
personal
personal
personal
personal
personal","Hankum Park
Qing Yu
Frances V. Hundley
Katherine Overmyer
Lia Serrano
Joao A. Paulo
Julia C. Paoli
Sharan Swarup
Joshua J. Coon
Steven P. Gygi
J. Wade Harper",cc-by-4.0,W4393681028,A5010446056,Katherine A. Overmyer,0000-0002-1929-1229
4,6597542,2022-05-31T15:21:19.730448+00:00,10.5281/zenodo.6597542,"Tabular datasets for Park et al, 2022","<p>tabular datasets used for immunofluorescence (Figure 1b, Extended Data Figure 3c) and transmission electron microscopy (Extended Data Figure 1h)</p>",Dataset,2022-03-31 00:00:00,"personal
personal
personal
personal
personal
personal
personal
personal
personal
personal
personal","Hankum Park
Qing Yu
Frances V. Hundley
Katherine Overmyer
Lia Serrano
Joao A. Paulo
Julia C. Paoli
Sharan Swarup
Joshua J. Coon
Steven P. Gygi
J. Wade Harper",cc-by-4.0,W4393681028,A5037217891,Lia R. Serrano,0000-0001-5662-5884
5,6597542,2022-05-31T15:21:19.730448+00:00,10.5281/zenodo.6597542,"Tabular datasets for Park et al, 2022","<p>tabular datasets used for immunofluorescence (Figure 1b, Extended Data Figure 3c) and transmission electron microscopy (Extended Data Figure 1h)</p>",Dataset,2022-03-31 00:00:00,"personal
personal
personal
personal
personal
personal
personal
personal
personal
personal
personal","Hankum Park
Qing Yu
Frances V. Hundley
Katherine Overmyer
Lia Serrano
Joao A. Paulo
Julia C. Paoli
Sharan Swarup
Joshua J. Coon
Steven P. Gygi
J. Wade Harper",cc-by-4.0,W4393681028,A5026734370,João A. Paulo,0000-0002-4291-413X
6,6597542,2022-05-31T15:21:19.730448+00:00,10.5281/zenodo.6597542,"Tabular datasets for Park et al, 2022","<p>tabular datasets used for immunofluorescence (Figure 1b, Extended Data Figure 3c) and transmission electron microscopy (Extended Data Figure 1h)</p>",Dataset,2022-03-31 00:00:00,"personal
personal
personal
personal
personal
personal
personal
personal
personal
personal
personal","Hankum Park
Qing Yu
Frances V. Hundley
Katherine Overmyer
Lia Serrano
Joao A. Paulo
Julia C. Paoli
Sharan Swarup
Joshua J. Coon
Steven P. Gygi
J. Wade Harper",cc-by-4.0,W4393681028,A5023479457,Julia C. Paoli,0000-0001-8266-1766
7,6597542,2022-05-31T15:21:19.730448+00:00,10.5281/zenodo.6597542,"Tabular datasets for Park et al, 2022","<p>tabular datasets used for immunofluorescence (Figure 1b, Extended Data Figure 3c) and transmission electron microscopy (Extended Data Figure 1h)</p>",Dataset,2022-03-31 00:00:00,"personal
personal
personal
personal
personal
personal
personal
personal
personal
personal
personal","Hankum Park
Qing Yu
Frances V. Hundley
Katherine Overmyer
Lia Serrano
Joao A. Paulo
Julia C. Paoli
Sharan Swarup
Joshua J. Coon
Steven P. Gygi
J. Wade Harper",cc-by-4.0,W4393681028,A5035448367,Sharan Swarup,0000-0003-0226-5582
8,6597542,2022-05-31T15:21:19.730448+00:00,10.5281/zenodo.6597542,"Tabular datasets for Park et al, 2022","<p>tabular datasets used for immunofluorescence (Figure 1b, Extended Data Figure 3c) and transmission electron microscopy (Extended Data Figure 1h)</p>",Dataset,2022-03-31 00:00:00,"personal
personal
personal
personal
personal
personal
personal
personal
personal
personal
personal","Hankum Park
Qing Yu
Frances V. Hundley
Katherine Overmyer
Lia Serrano
Joao A. Paulo
Julia C. Paoli
Sharan Swarup
Joshua J. Coon
Steven P. Gygi
J. Wade Harper",cc-by-4.0,W4393681028,A5086840789,Joshua J. Coon,0000-0002-0004-8253
9,6597542,2022-05-31T15:21:19.730448+00:00,10.5281/zenodo.6597542,"Tabular datasets for Park et al, 2022","<p>tabular datasets used for immunofluorescence (Figure 1b, Extended Data Figure 3c) and transmission electron microscopy (Extended Data Figure 1h)</p>",Dataset,2022-03-31 00:00:00,"personal
personal
personal
personal
personal
personal
personal
personal
personal
personal
personal","Hankum Park
Qing Yu
Frances V. Hundley
Katherine Overmyer
Lia Serrano
Joao A. Paulo
Julia C. Paoli
Sharan Swarup
Joshua J. Coon
Steven P. Gygi
J. Wade Harper",cc-by-4.0,W4393681028,A5079793809,Steven P. Gygi,0000-0001-7626-0034
10,6597542,2022-05-31T15:21:19.730448+00:00,10.5281/zenodo.6597542,"Tabular datasets for Park et al, 2022","<p>tabular datasets used for immunofluorescence (Figure 1b, Extended Data Figure 3c) and transmission electron microscopy (Extended Data Figure 1h)</p>",Dataset,2022-03-31 00:00:00,"personal
personal
personal
personal
personal
personal
personal
personal
personal
personal
personal","Hankum Park
Qing Yu
Frances V. Hundley
Katherine Overmyer
Lia Serrano
Joao A. Paulo
Julia C. Paoli
Sharan Swarup
Joshua J. Coon
Steven P. Gygi
J. Wade Harper",cc-by-4.0,W4393681028,A5047746208,J. Wade Harper,0000-0002-6944-7236
